C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-10.341794,-33.705833,-11.308272,-33.660621,-8.108003,-26.405357,-20.573633,-9.197660,-22.774630,-25.390086,-28.730805,-21.215666,0.000000
-10.309999,-35.487014,-23.569108,-37.744576,-10.000053,-21.972840,-15.677017,-5.702511,-21.654769,-32.687153,-41.609292,-28.708331,0.000000
-11.773644,-32.210192,-25.653359,-40.953562,-2.729468,-28.876526,-29.060613,-12.930713,-26.774927,-43.981624,-30.715834,-16.336896,0.000000
-7.080612,-29.627550,-20.458940,-40.396997,-9.030267,-27.140487,-20.609210,-5.237641,-31.079978,-36.498530,-32.582670,-24.463623,0.000000
-7.216675,-34.387756,-13.826387,-35.685173,-8.650051,-38.200205,-19.553182,-7.934089,-25.529852,-29.871963,-28.984801,-29.059910,0.000000
-8.125448,-32.325487,-22.518089,-26.341984,-8.560878,-23.942872,-15.852100,-7.355656,-19.849714,-34.778347,-25.756204,-32.184204,0.000000
-7.906382,-35.728106,-17.059854,-32.964950,-8.083445,-25.609452,-24.346356,-9.288838,-23.797948,-39.219907,-33.301738,-29.139073,0.000000
-6.506931,-30.101433,-26.843028,-39.823925,-10.074604,-33.576884,-31.600359,-11.247493,-23.299110,-31.672137,-31.236511,-22.003077,0.000000
-6.874239,-30.954123,-21.863826,-34.170102,-8.459692,-33.252693,-26.869654,-12.056958,-21.485475,-21.726396,-31.723864,-20.657048,0.000000
-9.077291,-30.260260,-25.195930,-35.271329,-9.962220,-31.996446,-23.936482,-9.231907,-18.327964,-25.981345,-28.049797,-19.238379,0.000000
-7.578700,-28.447453,-20.127270,-35.682406,-8.448453,-29.912237,-31.646526,-11.005540,-17.404997,-29.014187,-27.692766,-21.534810,0.000000
-8.558990,-28.273312,-20.918322,-34.697283,-6.074682,-32.012084,-24.899892,-11.695092,-17.558533,-36.255023,-25.508429,-14.241190,0.000000
-9.843889,-31.282124,-22.168139,-30.678203,-7.030857,-33.601522,-26.832711,-10.111286,-17.211281,-18.840589,-31.316119,-19.183961,0.000000
-4.164449,-26.292939,-18.819826,-39.828157,-17.131693,-31.059547,-40.333720,-11.042561,-32.171337,-29.176504,-24.632893,-32.163830,0.000000
-7.444515,-21.821735,-20.399309,-29.769404,-10.128399,-26.228924,-18.918445,-8.579963,-18.081568,-25.328372,-27.965644,-20.620703,0.000000
-5.474086,-26.118869,-18.756545,-40.325624,-6.506390,-37.232478,-31.979049,-13.871433,-23.773353,-27.083389,-31.633368,-21.041297,0.000000
-4.861422,-28.969689,-26.470676,-37.508657,-6.069358,-32.756747,-17.402233,-7.860142,-18.976472,-28.867205,-35.424522,-21.726192,0.000000
-10.709117,-31.149296,-16.086281,-35.139426,-7.656714,-34.879924,-26.467035,-15.628522,-16.831451,-30.449044,-25.308208,-7.932679,0.000000
-7.370511,-28.357135,-17.875797,-37.669672,-8.628820,-29.912254,-27.368364,-10.927324,-15.142019,-28.241870,-25.945231,-26.974833,0.000000
-5.796950,-28.368780,-21.515295,-33.245909,-8.638688,-31.368973,-25.999374,-9.865780,-17.265998,-23.640887,-30.746497,-16.536592,0.000000
-5.982798,-28.854347,-18.402604,-36.098168,-8.105685,-28.346962,-26.584784,-8.951639,-14.196132,-23.211552,-27.327200,-28.531994,0.000000
-7.462101,-25.659556,-17.997244,-37.240497,-10.066973,-29.123551,-27.417662,-9.665091,-16.584928,-20.137172,-29.148044,-30.565990,0.000000
-6.873861,-28.602880,-16.973960,-34.301517,-10.818213,-29.840539,-31.727750,-9.341596,-30.004897,-31.468444,-24.686920,-17.502074,0.000000
-5.908229,-29.095883,-14.214453,-35.848615,-15.015955,-29.041343,-23.945996,-9.078004,-27.927717,-30.298867,-21.838669,-19.407739,0.000000
-6.312764,-33.419738,-16.295040,-39.585087,-8.902631,-34.068443,-27.738309,-10.416667,-19.986940,-32.651621,-28.650165,-19.347550,0.000000
-7.444088,-24.082207,-18.761876,-26.834433,-9.224464,-22.582104,-21.292798,-9.576813,-8.833313,-16.636869,-18.908023,-20.509668,0.000000
-10.240309,-29.180285,-21.960033,-32.200791,-8.182063,-34.333411,-26.621281,-9.491745,-20.177568,-27.217866,-26.530357,-16.869946,0.000000
-7.770625,-33.272931,-15.632492,-35.953018,-6.588407,-33.480956,-33.456608,-10.527668,-27.036522,-26.096780,-29.970585,-23.399407,0.000000
-8.676475,-30.085282,-16.575798,-34.176197,-5.442570,-33.088121,-30.974607,-9.251055,-20.080696,-27.057122,-27.498650,-22.180171,0.000000
-2.464195,-28.051498,-29.860487,-38.988853,-10.587368,-36.318265,-41.927533,-12.161768,-16.785457,-29.952443,-25.294927,-24.572691,0.000000
-3.053225,-31.325512,-19.264297,-42.067049,-17.049095,-30.935993,-17.963578,-8.838554,-16.661537,-25.453225,-25.068414,-27.869751,0.000000
-7.933095,-24.233999,-17.712755,-31.701647,-6.950610,-27.951752,-22.613227,-8.242917,-18.445669,-30.094965,-23.737225,-23.454333,0.000000
-7.457737,-34.196396,-16.782269,-38.496902,-6.925078,-25.581203,-28.957910,-10.476211,-33.421153,-37.607384,-24.915066,-18.681639,0.000000
-6.510701,-29.886678,-21.339099,-33.594609,-8.947630,-27.131101,-24.531826,-10.340005,-31.919309,-40.267239,-34.657149,-19.325473,0.000000
-8.085313,-28.666337,-17.591017,-33.515052,-6.458967,-23.215179,-29.055265,-10.334703,-35.029134,-33.718644,-26.244475,-16.714415,0.000000
-5.170597,-32.336103,-22.534445,-35.666329,-8.653227,-31.099013,-27.772179,-13.233893,-30.341921,-41.262589,-29.909862,-15.448404,0.000000
-8.311062,-26.024385,-14.771294,-34.570544,-9.351236,-18.748572,-24.423884,-9.000170,-20.833266,-27.294744,-27.058941,-16.611508,0.000000
-7.978346,-33.578044,-19.603500,-39.912379,-8.041966,-20.587589,-24.989560,-10.380646,-28.735634,-37.955437,-28.804239,-19.905214,0.000000
-6.101425,-28.008022,-21.184523,-33.792604,-7.058734,-28.752009,-28.909998,-14.780301,-26.620087,-37.899128,-31.315600,-20.535226,0.000000
-7.327797,-32.291399,-19.498548,-31.739995,-10.588257,-27.795722,-26.746070,-10.673811,-25.536400,-35.696493,-29.660739,-14.237726,0.000000
-10.632451,-33.934397,-22.882072,-32.291284,-8.671342,-24.429470,-21.376781,-8.515001,-30.630189,-34.034873,-31.021583,-23.907612,0.000000
-5.626957,-30.272582,-29.365134,-39.205512,-4.706017,-29.400903,-24.122717,-9.882779,-32.930217,-37.486363,-36.017808,-35.342252,0.000000
-5.512604,-32.925041,-24.722191,-41.478439,-14.962619,-27.592450,-24.564982,-9.067886,-32.364680,-39.544792,-31.230324,-33.150058,0.000000
-5.664083,-27.753186,-26.255767,-41.107655,-6.608159,-21.737837,-29.297209,-8.595120,-31.913800,-39.307480,-24.942202,-31.373918,0.000000
-10.185228,-36.202259,-19.726957,-42.333229,-2.351894,-29.489653,-30.390016,-12.724574,-30.981479,-40.163127,-31.890509,-27.456338,0.000000
-6.295184,-32.473340,-14.767063,-33.986981,-11.520335,-21.282240,-30.419401,-10.718016,-30.348612,-36.973498,-24.166242,-21.220807,0.000000
-6.774869,-31.616333,-22.571290,-36.819766,-8.114499,-28.129993,-27.423678,-13.111963,-29.288123,-39.970432,-26.633729,-24.153821,0.000000
-5.549494,-32.377950,-21.579844,-37.191854,-7.417224,-26.810875,-25.862364,-8.897922,-27.656354,-35.528187,-33.551740,-22.383692,0.000000
-9.188529,-22.349372,-18.058503,-29.006548,-9.728394,-25.329214,-13.641081,-8.935950,-17.559623,-31.892165,-24.047188,-19.065020,0.000000
-8.826322,-29.599721,-15.626132,-35.415097,-8.988542,-27.789714,-22.771200,-7.541923,-33.584122,-31.227250,-29.024725,-21.390258,0.000000
-7.311306,-33.148694,-21.387258,-37.730702,-7.467999,-25.437591,-31.555519,-11.075514,-27.856722,-36.873685,-30.297469,-19.033652,0.000000
-5.294929,-32.554546,-22.328551,-36.770599,-6.220591,-31.380823,-27.922385,-13.416686,-32.187246,-39.625037,-37.910262,-20.478555,0.000000
-3.154269,-31.213218,-15.646963,-47.606240,-22.675691,-21.862533,-26.992595,-7.085156,-39.953449,-34.919075,-27.478977,-25.719989,0.000000
