C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-4.9,-37.3,-22.8,-33.6,-4.5,-33.7,-31.2,-13.7,-35.4,-35.4,-35.5,-25.2,1.0
-4.5,-39.5,-26.0,-39.3,-6.7,-36.6,-30.7,-16.8,-32.4,-29.3,-36.8,-27.2,1.0
-4.6,-41.1,-26.0,-35.9,-4.9,-34.1,-32.8,-14.5,-36.3,-31.0,-34.2,-18.3,1.0
-6.9,-40.4,-24.5,-39.2,-3.9,-32.0,-28.5,-14.1,-28.7,-24.8,-33.8,-23.2,1.0
-18.2,-41.7,-24.2,-32.6,-2.8,-31.7,-24.7,-12.9,-33.8,-27.8,-34.2,-18.8,1.0
-4.4,-39.9,-24.8,-36.2,-6.2,-31.1,-27.3,-15.1,-31.7,-28.7,-32.8,-19.5,1.0
-3.5,-33.1,-26.2,-37.2,-6.2,-33.8,-29.2,-15.4,-29.7,-35.0,-28.8,-24.1,1.0
-4.1,-37.0,-26.5,-38.0,-5.8,-33.0,-28.7,-15.4,-34.7,-27.8,-36.0,-18.9,1.0
-4.6,-42.7,-28.5,-35.0,-4.7,-32.4,-28.8,-16.0,-27.0,-32.6,-32.4,-22.3,1.0
-4.2,-38.4,-26.8,-35.4,-5.2,-33.1,-34.2,-15.8,-36.3,-32.1,-34.8,-20.2,1.0
-3.6,-37.3,-27.6,-33.4,-5.3,-33.4,-32.7,-15.5,-34.7,-28.8,-38.7,-23.9,1.0
-4.2,-42.9,-24.5,-33.4,-6.1,-32.8,-31.3,-14.5,-31.1,-28.7,-32.5,-16.9,1.0
-2.8,-41.0,-22.0,-37.7,-5.9,-28.7,-37.0,-17.3,-37.6,-29.7,-33.9,-22.4,1.0
-3.1,-44.6,-22.9,-38.3,-5.3,-30.7,-34.2,-17.7,-37.2,-35.8,-38.2,-21.7,1.0
-4.4,-45.1,-29.7,-36.6,-5.3,-34.1,-33.8,-15.6,-35.5,-32.4,-37.2,-22.7,1.0
-3.4,-41.4,-28.6,-35.1,-5.5,-34.0,-34.1,-14.6,-35.0,-32.2,-37.5,-20.2,1.0
-4.4,-40.1,-22.9,-35.8,-4.7,-31.5,-31.4,-15.4,-35.9,-33.8,-39.9,-19.4,1.0
-3.6,-40.1,-24.2,-36.2,-5.5,-35.6,-33.4,-17.2,-37.0,-29.1,-35.7,-21.4,1.0
-3.9,-39.1,-23.9,-33.8,-4.8,-32.3,-30.1,-14.7,-34.9,-27.8,-35.7,-19.9,1.0
-3.8,-44.8,-22.8,-37.8,-5.2,-30.2,-37.0,-15.1,-36.6,-26.1,-36.4,-18.4,1.0
-3.6,-37.3,-23.1,-35.2,-6.3,-31.4,-36.5,-13.7,-37.5,-29.3,-33.0,-19.2,1.0
-4.0,-38.6,-25.2,-38.1,-5.4,-33.8,-33.9,-15.4,-36.4,-27.9,-34.4,-18.0,1.0
-15.6,-37.2,-24.5,-31.3,-3.9,-27.1,-27.0,-11.2,-28.2,-28.1,-33.9,-19.4,1.0
-4.0,-39.6,-21.6,-37.8,-5.5,-31.3,-35.6,-17.5,-37.8,-35.3,-36.7,-19.7,1.0
-7.7,-38.5,-21.5,-32.0,-3.3,-28.9,-31.4,-15.7,-36.3,-30.6,-35.9,-19.7,1.0
-5.6,-39.7,-25.6,-33.9,-4.2,-29.9,-29.2,-13.6,-31.5,-30.1,-33.6,-18.9,1.0
-5.1,-42.8,-25.2,-31.8,-4.4,-29.2,-30.2,-13.9,-37.2,-31.6,-35.1,-17.7,1.0
-6.2,-41.3,-29.1,-35.2,-3.5,-33.4,-31.0,-14.6,-34.9,-34.0,-38.5,-23.6,1.0
-5.6,-42.0,-23.8,-35.9,-3.9,-30.2,-29.1,-14.5,-35.9,-32.2,-35.3,-20.2,1.0
-4.8,-42.5,-25.7,-36.3,-4.5,-33.0,-27.8,-15.1,-33.0,-30.8,-30.2,-21.7,1.0
-4.5,-43.6,-25.5,-33.7,-6.5,-33.3,-29.4,-13.9,-32.1,-26.8,-35.8,-18.1,1.0
-5.4,-37.6,-27.6,-34.9,-5.6,-32.0,-30.5,-15.2,-33.0,-27.0,-34.8,-20.4,1.0
-5.3,-35.5,-25.7,-36.2,-5.4,-33.3,-33.7,-14.8,-33.1,-30.3,-36.4,-20.2,1.0
-4.2,-38.2,-23.6,-35.8,-6.8,-29.9,-29.9,-13.5,-30.2,-26.8,-34.4,-20.9,1.0
-4.2,-38.6,-27.4,-36.3,-6.2,-32.6,-32.7,-16.3,-25.3,-30.6,-35.6,-21.3,1.0
-5.1,-37.9,-23.1,-35.1,-4.8,-34.1,-30.6,-15.0,-31.7,-27.5,-33.1,-21.3,1.0
-5.6,-39.7,-25.0,-33.9,-4.5,-31.5,-31.5,-15.1,-36.4,-24.7,-38.8,-19.5,1.0
-5.4,-36.1,-25.9,-33.2,-4.2,-36.2,-30.9,-14.3,-33.2,-26.2,-37.5,-19.0,1.0
-3.9,-36.7,-24.8,-36.2,-6.8,-35.8,-30.2,-16.4,-32.6,-33.2,-34.7,-19.4,1.0
-5.1,-39.0,-25.5,-40.8,-4.9,-32.8,-33.7,-14.7,-36.5,-28.5,-35.0,-18.9,1.0
-5.0,-38.5,-26.5,-33.5,-4.5,-33.1,-30.9,-14.0,-35.3,-26.6,-36.1,-18.8,1.0
-3.8,-37.6,-26.7,-33.6,-6.4,-31.7,-28.5,-15.7,-37.2,-27.1,-31.0,-23.6,1.0
-3.2,-35.6,-24.3,-36.3,-6.7,-30.1,-31.2,-16.0,-37.2,-29.3,-35.5,-21.3,1.0
-4.5,-42.4,-23.3,-35.0,-4.9,-33.9,-28.8,-14.8,-36.1,-26.9,-34.4,-19.1,1.0
-9.0,-43.5,-27.2,-34.7,-5.7,-28.2,-18.7,-16.1,-33.6,-24.7,-32.6,-21.3,1.0
-9.1,-40.9,-22.4,-39.5,-5.3,-31.1,-18.9,-14.8,-30.5,-27.0,-35.4,-20.8,1.0
-9.8,-46.7,-26.7,-39.6,-5.1,-28.4,-18.8,-15.9,-31.9,-25.3,-33.9,-18.3,1.0
-9.3,-41.4,-27.2,-37.9,-5.7,-28.0,-22.5,-16.5,-33.0,-34.6,-34.2,-20.0,1.0
-9.9,-46.8,-27.9,-33.7,-5.2,-29.2,-19.8,-15.6,-33.4,-38.1,-38.1,-18.5,1.0
-11.1,-45.5,-24.9,-39.0,-5.0,-31.4,-16.1,-13.2,-31.2,-30.1,-34.7,-18.0,1.0
-8.8,-33.9,-24.0,-34.7,-5.0,-29.6,-18.2,-14.2,-30.9,-22.9,-33.2,-16.1,1.0
-7.9,-41.0,-20.9,-35.4,-6.1,-30.9,-16.4,-13.4,-31.6,-28.1,-35.3,-16.5,1.0
-9.6,-43.5,-26.2,-37.7,-6.0,-29.2,-16.9,-14.4,-32.4,-35.3,-25.7,-20.1,1.0
-9.2,-39.5,-22.1,-34.4,-6.4,-26.1,-19.0,-16.1,-31.2,-26.9,-28.2,-21.8,1.0
-8.2,-39.9,-22.9,-36.0,-4.6,-29.2,-23.8,-16.8,-34.9,-37.8,-25.9,-19.6,1.0
-6.9,-41.5,-21.1,-37.0,-6.1,-27.7,-26.9,-16.7,-31.3,-31.3,-30.2,-22.4,1.0
-6.3,-40.6,-22.5,-34.4,-5.6,-29.0,-19.1,-15.9,-31.4,-27.2,-31.2,-21.0,1.0
-8.6,-39.4,-24.7,-33.1,-4.8,-26.2,-18.0,-15.1,-30.3,-24.7,-32.0,-23.9,1.0
-8.0,-44.7,-26.9,-35.4,-5.7,-28.5,-22.5,-19.6,-32.8,-28.4,-26.2,-18.4,1.0
-8.4,-42.5,-25.4,-37.4,-8.0,-27.2,-20.1,-16.8,-33.2,-30.9,-31.4,-21.7,1.0
-12.6,-40.9,-25.8,-35.4,-6.6,-31.9,-19.3,-15.5,-31.0,-23.5,-31.2,-19.6,1.0
-7.7,-44.7,-23.3,-36.6,-5.7,-31.7,-18.3,-14.8,-30.0,-25.2,-29.8,-18.3,1.0
-10.0,-47.7,-22.8,-39.5,-5.8,-30.7,-19.7,-15.4,-30.6,-24.0,-27.2,-17.4,1.0
-13.1,-45.3,-23.0,-37.8,-5.1,-31.9,-21.2,-15.5,-29.3,-20.9,-28.8,-19.2,1.0
-7.8,-41.0,-27.0,-36.3,-6.9,-32.7,-21.4,-17.5,-33.9,-27.2,-29.7,-20.1,1.0
-9.6,-42.8,-21.5,-35.2,-6.1,-29.5,-16.5,-13.3,-29.5,-26.1,-27.9,-19.9,1.0
-7.7,-41.2,-25.2,-37.4,-7.6,-27.9,-19.7,-17.3,-28.0,-27.6,-28.6,-20.7,1.0
-6.7,-39.8,-23.8,-34.2,-7.7,-26.0,-22.1,-17.4,-31.7,-31.0,-36.2,-19.7,1.0
-10.0,-42.7,-17.8,-38.7,-6.2,-28.7,-18.4,-13.2,-28.3,-26.4,-31.7,-19.6,1.0
-5.4,-41.7,-23.2,-38.1,-7.0,-29.1,-18.0,-18.9,-31.2,-24.5,-32.1,-21.6,1.0
-6.2,-40.1,-23.3,-35.2,-6.4,-30.3,-19.2,-17.2,-29.2,-26.4,-32.3,-21.6,1.0
-6.6,-41.7,-23.8,-44.5,-6.4,-29.0,-19.8,-16.2,-31.7,-32.0,-34.6,-22.4,1.0
-5.0,-39.3,-24.8,-38.3,-6.4,-28.4,-18.1,-19.5,-29.9,-29.9,-32.7,-22.2,1.0
-6.7,-41.1,-22.9,-41.1,-6.1,-29.4,-19.5,-16.2,-30.4,-28.2,-31.0,-19.1,1.0
-6.7,-37.6,-23.1,-37.2,-7.3,-30.8,-12.0,-17.1,-30.7,-30.5,-27.4,-23.5,1.0
-6.9,-40.9,-25.4,-37.1,-5.2,-28.9,-21.8,-19.6,-29.5,-30.0,-33.6,-19.3,1.0
-7.4,-41.9,-21.0,-37.6,-7.1,-30.3,-20.0,-16.1,-30.4,-33.6,-36.6,-20.1,1.0
-9.2,-41.1,-21.3,-37.9,-5.3,-29.0,-22.9,-15.6,-25.9,-34.7,-34.6,-20.3,1.0
-9.5,-44.0,-23.0,-35.2,-6.4,-30.4,-18.0,-16.0,-31.7,-33.5,-34.6,-17.0,1.0
-8.7,-42.0,-25.8,-33.6,-6.9,-28.4,-19.9,-17.1,-25.7,-30.4,-24.6,-23.9,1.0
-7.4,-47.5,-25.0,-36.3,-5.5,-30.3,-22.4,-17.6,-28.2,-31.0,-32.5,-17.7,1.0
-8.8,-41.8,-23.8,-36.5,-5.9,-32.7,-19.7,-16.5,-26.0,-25.7,-28.1,-20.0,1.0
-9.5,-44.3,-25.0,-36.0,-6.1,-32.3,-18.4,-16.6,-29.5,-36.3,-26.7,-19.2,1.0
-8.7,-43.3,-22.5,-38.6,-6.0,-31.1,-20.9,-15.5,-29.4,-26.5,-26.8,-15.9,1.0
-9.7,-45.5,-28.2,-38.9,-5.4,-27.5,-23.6,-22.5,-26.7,-31.3,-31.3,-18.7,1.0
-10.0,-38.1,-22.7,-39.1,-4.8,-28.7,-17.3,-18.2,-28.2,-30.3,-35.2,-20.7,1.0
-10.7,-44.6,-23.8,-41.7,-4.5,-32.1,-23.0,-19.0,-25.6,-30.6,-36.5,-19.4,1.0
-8.1,-44.7,-23.8,-37.8,-6.1,-28.9,-23.9,-17.7,-25.2,-30.7,-35.0,-19.6,1.0
-8.7,-33.3,-21.8,-32.9,-6.2,-34.3,-22.6,-18.8,-33.6,-29.8,-31.2,-17.3,1.0
-8.0,-32.9,-23.3,-41.5,-5.3,-31.0,-20.7,-18.5,-25.8,-21.7,-37.3,-21.7,1.0
-7.5,-43.2,-25.8,-40.4,-4.1,-28.6,-19.5,-18.5,-25.4,-33.8,-35.6,-20.8,1.0
-9.1,-49.2,-25.9,-36.2,-5.0,-25.7,-23.8,-17.4,-27.0,-27.5,-35.4,-22.5,1.0
-9.3,-37.0,-22.9,-27.8,-4.0,-24.0,-20.0,-17.3,-27.1,-31.0,-24.5,-21.4,1.0
-4.9,-36.6,-17.6,-35.6,-10.1,-28.5,-38.5,-10.0,-31.8,-35.3,-37.8,-12.5,1.0
-4.3,-34.3,-21.9,-38.1,-11.2,-29.4,-38.3,-10.7,-31.9,-27.9,-33.5,-12.0,1.0
-6.1,-34.1,-25.9,-28.7,-14.7,-29.0,-27.7,-12.1,-30.6,-27.5,-39.8,-10.7,1.0
-5.6,-31.7,-23.2,-31.6,-11.8,-30.0,-26.0,-10.2,-28.0,-26.7,-33.9,-11.8,1.0
-4.5,-34.8,-18.7,-41.0,-8.0,-28.8,-34.7,-8.0,-33.1,-30.3,-36.9,-22.2,1.0
-4.8,-36.0,-18.2,-36.1,-9.1,-28.8,-34.7,-9.4,-30.7,-29.7,-34.4,-12.2,1.0
-5.1,-34.4,-21.8,-31.6,-11.9,-29.3,-34.3,-9.8,-36.5,-33.1,-34.7,-11.6,1.0
-5.4,-32.2,-18.8,-39.1,-10.2,-30.0,-31.8,-10.0,-31.1,-34.3,-34.4,-12.7,1.0
-5.5,-29.9,-30.7,-32.3,-14.7,-26.6,-26.7,-8.1,-28.0,-28.8,-36.5,-10.8,1.0
-5.8,-31.5,-23.9,-34.6,-10.2,-29.0,-30.0,-9.7,-29.3,-29.8,-34.2,-11.5,1.0
-4.8,-31.6,-31.5,-35.8,-11.9,-27.3,-25.6,-9.1,-28.0,-30.7,-33.8,-13.9,1.0
-5.4,-33.3,-18.0,-36.4,-8.5,-26.9,-32.7,-8.1,-31.1,-30.4,-36.7,-13.3,1.0
-5.5,-29.9,-18.6,-33.7,-12.6,-26.6,-29.0,-7.9,-30.3,-32.2,-35.4,-13.1,1.0
-5.1,-31.3,-22.5,-34.8,-10.4,-29.2,-30.9,-9.9,-34.3,-27.0,-34.5,-11.9,1.0
-5.8,-32.8,-23.4,-30.6,-14.8,-29.3,-23.6,-7.8,-27.0,-30.7,-35.5,-10.9,1.0
-5.5,-30.5,-27.9,-33.9,-16.2,-21.6,-30.2,-11.2,-26.7,-31.0,-32.2,-12.2,1.0
